linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,skills,total_experience_count,has_current_job_description,has_previous_job_description,profile_text,skills_list,skill_count
external_validation_index_1,consultant data science,Washington,District of Columbia,United States,Knowledge Management Specialist,Usfalcon,2019,Master of Science,Analytics (MS) [Online],Analytics,1,master of science in analytics,2017,2019,consultant data science,,kearney company,https://www.kearneyco.com/,accounting,united states,unknown,2022-12-01T00:00:00Z,knowledge management specialist,,USfalcon,15.3,"public policy,public health,community health,health education,health promotion,health communication,community outreach,clinical research,global health,research,data analysis,grants",10,0,0,consultant data science consultant data science kearney company knowledge management specialist,"public policy, public health, community health, health education, health promotion, health communication, community outreach, clinical research, global health, research, data analysis, grants",12
external_validation_index_2,digital tranformation consultant,Unknown,Unknown,Unknown,Consultant,World Bank,2020,Master of Business Admin,Business Administration (MBA),Business Administration,2,master of business administration mba,0,0,digital tranformation consultant,,the world bank,http://www.worldbank.org,international trade and development,united states,"washington, dc",2023-03-01T00:00:00Z,senior strategy analyst,,Accenture,9.6,"business strategy,digital development,analytical skills,report writing,government,regional strategy,strategic partnerships,policy analysis,international development,public speaking,strategy,public relations,data analysis,project management,team management,teamwork",7,0,0,digital tranformation consultant digital tranformation consultant the world bank senior strategy analyst,"business strategy, digital development, analytical skills, report writing, government, regional strategy, strategic partnerships, policy analysis, international development, public speaking, strategy, public relations, data analysis, project management, team management, teamwork",16
external_validation_index_3,sr sec reporting analyst,Chicago,Illinois,United States,Sr. SEC Reporting Analyst,Axon,2020,Master of Science,Accounting (MS),Accounting,3,master s degree accounting,2018,2020,sr sec reporting analyst,,axon,http://www.axon.com,public safety,united states,"scottsdale, arizona, united states",2024-08-01T00:00:00Z,audit and assurance project integrator senior,,Deloitte,10.6,"helping clients,team management,team leadership,relationship development,leading discussions,income statements,due diligence,constructive feedback,skilled multi-tasker,excel modeling,problem solving,budget management,process auditing,walkthroughs,business control,internal and external communications,financial calculations,financial statement analysis,external communications,journal entry review",12,0,0,sr sec reporting analyst sr sec reporting analyst axon audit and assurance project integrator senior,"helping clients, team management, team leadership, relationship development, leading discussions, income statements, due diligence, constructive feedback, skilled multi-tasker, excel modeling, problem solving, budget management, process auditing, walkthroughs, business control, internal and external communications, financial calculations, financial statement analysis, external communications, journal entry review",20
external_validation_index_4,mba marketing intern,Romeoville,Illinois,United States,Mba Marketing Intern,AARP Innovation Labs,2020,Master of Business Admin,Business Administration (MBA),Business Administration,4,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,mba marketing intern,,0
external_validation_index_5,research associate,Bogot√°,Unknown,Colombia,Unknown,Unknown,2020,Master of Science,Analytics (MS),Analytics,5,master s degree international economics quantitative methods,2023,2025,research associate,,efi foundation,https://efifoundation.org/,non-profit organizations,united states,washington dc-baltimore area,2026-01-01T00:00:00Z,data analyst short term contract,,International Monetary Fund,10.3,"power purchase agreements,budget tracking,research skills,data analysis,web-based research,attention to detail,renewable energy markets,international relations,critical thinking,communication,analytical skills,regulatory affairs,political science,large-scale data processing,microsoft excel,large-scale data analysis,government regulations,environmental policy,market analysis,legislative relations",21,0,0,research associate research associate efi foundation data analyst short term contract,"power purchase agreements, budget tracking, research skills, data analysis, web-based research, attention to detail, renewable energy markets, international relations, critical thinking, communication, analytical skills, regulatory affairs, political science, large-scale data processing, microsoft excel, large-scale data analysis, government regulations, environmental policy, market analysis, legislative relations",20
external_validation_index_6,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Master of Business Admin,Business Administration (MBA),Business Administration,6,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_7,project coordinator,Durham,North Carolina,United States,Project Specialist/Vendor Project Manager,SYNEOS HEALTH,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,7,master of business administration mba business administration and management general,2016,2019,project coordinator,ä managed end to end vendor relationships supporting clinical and operational projects ensuring vendors met contractual deliverables quality standards and project timelines across cross functional programs ä monitored vendor performance project milestones and service level agreements slas proactively identifying risks and implementing corrective actions to maintain on time project delivery ä coordinated vendor onboarding service agreements and equipment procurement activities supporting operational readiness and ensuring compliance with company procurement and quality processes ä served as the primary liaison between internal stakeholders clinical operations qa regulatory and program management and external vendors communicating project status risks and dependencies to ensure alignment ä facilitated regular vendor review and evaluation sessions to assess performance gather feedback and drive continuous improvement in vendor service delivery ä maintained comprehensive documentation of vendor activities project progress and performance metrics to support operational transparency and audit readiness ä supported multiple concurrent vendor supported initiatives ensuring projects remained on schedule and aligned with program objectives,zoetis via adecco,NA,unknown,united states,unknown,2023-10-01T00:00:00Z,project specialist,ä managed vendor technology implementation supporting global clinical trials across multiple sponsors coordinating activities between cro teams technology vendors and sponsors ä served as the primary point of contact for vendor management activities across clinical technology platforms including edc and ctms systems ä oversaw vendor system implementation including business requirements development user acceptance testing uat system integrations and production monitoring ä upported bid defense meetings by presenting vendor technology capabilities functionality and implementation strategies to sponsors ä coordinated vendor contracts financial tracking invoicing processes and budget oversight throughout the project lifecycle ä maintained regulatory compliant documentation and ensured accurate filing within the trial master file tmf ä provided regular status updates to internal and sponsor teams regarding vendor implementation progress risks and timeline impacts,Syneos Health,8.8,"project lifecycle management,budget tracking,problem solving,analytical skills,operations management,strategic planning,voip,telecommunications,business analysis,microsoft office,leadership,management,project management,strategy,switches,ip,team leadership,program management,vendor management,customer service",6,1,1,project coordinator project coordinator ä managed end to end vendor relationships supporting clinical and operational projects ensuring vendors met contractual deliverables quality standards and project timelines across cross functional programs ä monitored vendor performance project milestones and service level agreements slas proactively identifying risks and implementing corrective actions to maintain on time project delivery ä coordinated vendor onboarding service agreements and equipment procurement activities supporting operational readiness and ensuring compliance with company procurement and quality processes ä served as the primary liaison between internal stakeholders clinical operations qa regulatory and program management and external vendors communicating project status risks and dependencies to ensure alignment ä facilitated regular vendor review and evaluation sessions to assess performance gather feedback and drive continuous improvement in vendor service delivery ä maintained comprehensive documentation of vendor activities project progress and performance metrics to support operational transparency and audit readiness ä supported multiple concurrent vendor supported initiatives ensuring projects remained on schedule and aligned with program objectives zoetis via adecco project specialist ä managed vendor technology implementation supporting global clinical trials across multiple sponsors coordinating activities between cro teams technology vendors and sponsors ä served as the primary point of contact for vendor management activities across clinical technology platforms including edc and ctms systems ä oversaw vendor system implementation including business requirements development user acceptance testing uat system integrations and production monitoring ä upported bid defense meetings by presenting vendor technology capabilities functionality and implementation strategies to sponsors ä coordinated vendor contracts financial tracking invoicing processes and budget oversight throughout the project lifecycle ä maintained regulatory compliant documentation and ensured accurate filing within the trial master file tmf ä provided regular status updates to internal and sponsor teams regarding vendor implementation progress risks and timeline impacts,"project lifecycle management, budget tracking, problem solving, analytical skills, operations management, strategic planning, voip, telecommunications, business analysis, microsoft office, leadership, management, project management, strategy, switches, ip, team leadership, program management, vendor management, customer service",20
external_validation_index_8,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,8,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_9,senior brand partnerships associate,Dubai,Unknown,United Arab Emirates,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Marketing (BSBA),Business Administration,9,marketing,2017,2019,senior brand partnerships associate,,level shoes,https://level.shoes/linkedin,retail,united arab emirates,"dubai, united arab emirates",2025-10-01T00:00:00Z,junior brand partnership executive,,Level Shoes,8.3,"management,employee training,brand management,public speaking,sales presentations,key performance indicators,business-to-business (b2b),training,interviewing,client relations,search engine optimization (seo),keyword research,web content writing,marketing campaign strategies,digital marketing,microsoft office,customer service,microsoft excel,leadership,microsoft word",12,0,0,senior brand partnerships associate senior brand partnerships associate level shoes junior brand partnership executive,"management, employee training, brand management, public speaking, sales presentations, key performance indicators, business-to-business (b2b), training, interviewing, client relations, search engine optimization (seo), keyword research, web content writing, marketing campaign strategies, digital marketing, microsoft office, customer service, microsoft excel, leadership, microsoft word",20
external_validation_index_10,hrbp engineering,Wyoming,Michigan,United States,"Hrbp, Consumer Engineering",Netflix,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,10,master of business administration mba business analytics,2018,2019,hrbp engineering,partnered with engineering vps directors employees to align organizational design workforce planning and leadership strategies with netflix äôs consumer technology priorities influenced senior leaders on talent density and performance frameworks optimizing team structures for innovation and scalability built executive ready workforce analytics dashboards on headcount attrition and promotions enabling proactive leadership decisions designed an i d projection model that reshaped recruiting strategy driving stronger representation and retention outcomes advised leaders on organizational and cultural challenges restructuring executive transitions conflict resolution strengthening team effectiveness and organizational health,netflix,https://jobs.netflix.com?utm_campaign=LIHomePage&utm_source=linkedin,entertainment providers,united states,unknown,2022-04-01T00:00:00Z,senior hr partner hr partner g a,served as strategic hr partner to executives across security ehs workplace and recruiting employees driving organizational effectiveness and workforce strategies to support rapid global growth guided decision making on organizational design performance management and total rewards to align with tesla äôs mission driven objectives collaborated cross functionally er ta comp benefits to design people strategies that improved retention engagement and alignment streamlined hr systems and processes improving efficiency and employee experience across g a functions,Tesla,15.8,"microsoft excel,customer service,employee benefits,human resources,project management,powerpoint,microsoft word,microsoft office,human resources information systems (hris),tableau,public speaking,english,leave of absence management,r,data analytics",9,1,1,hrbp engineering hrbp engineering partnered with engineering vps directors employees to align organizational design workforce planning and leadership strategies with netflix äôs consumer technology priorities influenced senior leaders on talent density and performance frameworks optimizing team structures for innovation and scalability built executive ready workforce analytics dashboards on headcount attrition and promotions enabling proactive leadership decisions designed an i d projection model that reshaped recruiting strategy driving stronger representation and retention outcomes advised leaders on organizational and cultural challenges restructuring executive transitions conflict resolution strengthening team effectiveness and organizational health netflix senior hr partner hr partner g a served as strategic hr partner to executives across security ehs workplace and recruiting employees driving organizational effectiveness and workforce strategies to support rapid global growth guided decision making on organizational design performance management and total rewards to align with tesla äôs mission driven objectives collaborated cross functionally er ta comp benefits to design people strategies that improved retention engagement and alignment streamlined hr systems and processes improving efficiency and employee experience across g a functions,"microsoft excel, customer service, employee benefits, human resources, project management, powerpoint, microsoft word, microsoft office, human resources information systems (hris), tableau, public speaking, english, leave of absence management, r, data analytics",15
