skill,5k training dataset,KSB alumni external validation,abs_rate_difference
microsoft office,0.034253061224489796,0.06496612196094062,0.030713060736450824
microsoft word,0.018808163265306124,0.04583499402152252,0.027026830756216393
microsoft powerpoint,0.011559183673469389,0.036667995217218016,0.025108811543748628
microsoft excel,0.04062040816326531,0.06297329613391789,0.02235288797065258
strategic planning,0.025142857142857144,0.010761259465922678,0.014381597676934466
social media,0.017142857142857144,0.03029095257074532,0.013148095427888175
research,0.018383673469387754,0.031486648066958944,0.01310297459757119
public speaking,0.024946938775510203,0.037465125548027105,0.012518186772516902
teamwork,0.018448979591836733,0.03029095257074532,0.011841972978908585
strategy,0.014955102040816327,0.005579912315663611,0.009375189725152716
data analysis,0.021583673469387755,0.029095257074531686,0.00751158360514393
tableau,0.00483265306122449,0.011956954962136309,0.007124301900911819
team building,0.010644897959183674,0.0039856516540454365,0.006659246305138237
marketing strategy,0.012342857142857143,0.005978477481068154,0.006364379661788989
budgets,0.006138775510204081,0,0.006138775510204081
program management,0.011624489795918368,0.005579912315663611,0.006044577480254757
cross-functional team leadership,0.008489795918367347,0.0027899561578318055,0.005699839760535542
analysis,0.007673469387755102,0.0019928258270227183,0.005680643560732383
process improvement,0.008,0.0023913909924272616,0.005608609007572738
customer service,0.027689795918367347,0.03308090872857712,0.005391112810209774
finance,0.013322448979591837,0.007971303308090873,0.005351145671500964
investments,0.006922448979591837,0.0019928258270227183,0.004929623152569118
entrepreneurship,0.006791836734693878,0.0019928258270227183,0.00479901090767116
problem solving,0.011918367346938775,0.007174172977281785,0.00474419436965699
time management,0.01302857142857143,0.01753686727779992,0.00450829584922849
communication,0.021126530612244898,0.025508170585890794,0.004381639973645896
banking,0.005126530612244898,7.971303308090873e-4,0.00432940028143581
portfolio management,0.005453061224489796,0.0011956954962136308,0.004257365728276165
new business development,0.0053551020408163265,0.0011956954962136308,0.0041594065446026954
event planning,0.011395918367346939,0.015544041450777202,0.004148123083430263
product development,0.005681632653061225,0.0015942606616181746,0.00408737199144305
leadership development,0.0060408163265306125,0.0019928258270227183,0.004047990499507895
start-ups,0.004277551020408163,3.9856516540454366e-4,0.0038789858550036193
leadership,0.045191836734693874,0.04902351534475887,0.0038316786100649966
analytical skills,0.012538775510204082,0.01634117178158629,0.003802396271382208
